state, population 
AK," 731,545 "
AL," 4,903,185 "
AR," 3,017,804 "
AZ," 7,278,717 "
CA," 39,512,223 "
CO," 5,758,736 "
CT," 3,565,287 "
DC," 705,749 "
DE," 973,764 "
FL," 21,477,737 "
GA," 10,617,423 "
HI," 1,415,872 "
IA," 3,155,070 "
ID," 1,787,065 "
IL," 12,671,821 "
IN," 6,732,219 "
KS," 2,913,314 "
KY," 4,467,673 "
LA," 4,648,794 "
MA," 6,892,503 "
MD," 6,045,680 "
ME," 1,344,212 "
MI," 9,986,857 "
MN," 5,639,632 "
MO," 6,137,428 "
MS," 2,976,149 "
MT," 1,068,778 "
NC," 10,488,084 "
ND," 762,062 "
NE," 1,934,408 "
NH," 1,359,711 "
NJ," 8,882,190 "
NM," 2,096,829 "
NV," 3,080,156 "
NY," 19,453,561 "
OH," 11,689,100 "
OK," 3,956,971 "
OR," 4,217,737 "
PA," 12,801,989 "
RI," 1,059,361 "
SC," 5,148,714 "
SD," 884,659 "
TN," 6,829,174 "
TX," 28,995,881 "
US," 328,239,523 "
UT," 3,205,958 "
VA," 8,535,519 "
VT," 623,989 "
WA," 7,614,893 "
WI," 5,822,434 "
WV," 1,792,147 "
WY," 578,759 "
